Team,Match,Alliance,Time,X,Y
4682,21,red,36.7,34,8
4682,21,red,84.0,36,20
4682,21,red,107.0,46,20
4682,21,red,114.9,40,16
4682,21,red,132.4,32,12
4682,21,red,139.8,32,14
4682,21,red,143.5,32,12
3070,21,blue,6.0,0,20
3070,21,blue,116.8,22,16
4513,21,blue,123.1,28,18
5588,21,blue,144.0,36,20
4309,22,red,3.9,42,4
4309,22,red,9.4,26,6
4309,22,red,75.9,46,4
4309,22,red,100.8,38,16
2930,22,red,12.2,40,14
2930,22,red,127.6,32,8
2976,22,red,11.3,36,2
2976,22,red,65.1,36,4
2976,22,red,68.8,34,4
4131,22,blue,4.4,6,20
4131,22,blue,8.1,0,20
4131,22,blue,106.1,2,22
4911,22,blue,10.1,8,14
4911,22,blue,137.2,34,18
4911,22,blue,147.6,28,18
4089,23,red,4.8,44,14
4089,23,red,13.3,42,16
4089,23,red,139.8,28,12
4683,23,red,12.7,32,8
4683,23,red,81.7,46,6
4683,23,red,85.4,44,4
4683,23,red,121.1,40,12
8032,23,blue,29.4,16,16
8032,23,blue,44.8,2,18
1294,24,red,8.0,44,4
1294,24,red,40.7,34,4
1294,24,red,62.0,44,4
1294,24,red,107.5,46,4
1294,24,red,148.7,44,4
2522,24,red,11.4,42,8
2522,24,red,15.1,38,10
2522,24,red,115.3,40,16
1318,24,red,38.4,38,20
1318,24,red,47.7,24,16
1318,24,red,62.1,20,6
1318,24,red,119.0,46,8
4512,24,blue,66.3,20,22
492,25,red,26.4,52,8
492,25,red,54.0,42,4
3268,25,red,20.3,48,14
3268,25,red,87.6,38,14
8248,25,red,26.0,36,14
8248,25,red,40.2,0,8
8248,25,red,71.2,16,16
8248,25,red,82.3,0,10
8248,25,red,96.4,2,10
8248,25,red,100.1,0,10
4681,25,blue,6.6,6,24
7627,25,blue,88.8,44,8
7627,25,blue,102.6,34,16
7627,25,blue,110.2,28,16
1899,26,red,10.2,54,8
1899,26,red,37.9,36,6
1899,26,red,54.7,42,6
1899,26,red,70.0,26,12
1899,26,red,100.0,24,10
4911,26,red,75.3,46,18
4911,26,red,96.4,42,8
4911,26,red,112.5,40,8
4911,26,red,128.5,46,18
4911,26,red,132.4,42,8
2910,26,red,6.8,36,8
2910,26,red,16.7,42,8
2910,26,red,74.2,0,8
2910,26,red,103.2,48,18
2910,26,red,130.4,38,8
2910,26,red,138.3,28,12
4513,26,blue,38.4,2,18
4513,26,blue,42.1,0,18
4513,26,blue,69.0,0,20
4513,26,blue,75.5,2,22
4513,26,blue,96.2,4,20
4513,26,blue,127.8,4,18
2903,26,blue,19.6,8,14
2903,26,blue,75.6,6,14
2903,26,blue,103.2,8,14
7118,27,red,60.1,34,18
4173,27,red,132.7,42,14
2930,27,red,123.7,46,8
4309,27,blue,3.8,6,22
4309,27,blue,7.5,0,22
4309,27,blue,70.6,18,20
4309,27,blue,133.7,22,18
3826,27,blue,37.7,22,24
3826,27,blue,68.6,22,26
3826,27,blue,103.5,12,26
3826,27,blue,108.4,0,20
1318,28,red,3.9,46,4
1318,28,red,13.1,48,6
1318,28,red,23.1,36,4
1778,28,red,3.9,44,8
949,28,red,17.0,42,14
949,28,red,109.0,38,8
4681,28,blue,12.2,0,18
8032,28,blue,33.7,18,24
4180,28,blue,63.0,10,18
2412,29,red,3.6,46,12
2412,29,red,26.4,38,16
2412,29,red,99.2,44,12
2412,29,red,136.4,32,14
2412,29,red,141.3,32,12
4682,29,red,5.3,40,22
4682,29,red,9.5,32,20
4682,29,red,57.8,36,8
4682,29,red,92.7,40,24
4512,29,red,9.1,38,4
4512,29,red,46.7,34,6
8248,29,blue,20.0,8,8
4089,30,red,6.9,44,4
4089,30,red,15.6,40,4
4089,30,red,27.8,32,2
4089,30,red,42.6,50,4
3070,30,red,8.7,52,8
3070,30,red,14.0,50,8
3070,30,red,31.8,28,14
3070,30,red,37.0,0,8
3070,30,red,43.3,2,8
4918,30,red,7.1,42,8
4918,30,red,10.8,40,8
4918,30,red,14.5,38,8
4918,30,red,31.1,36,14
4918,30,red,40.5,38,16
4918,30,red,50.5,40,8
4918,30,red,56.8,32,4
4918,30,red,78.2,36,14
4918,30,red,129.1,30,12
5588,30,blue,11.6,12,20
5588,30,blue,54.2,20,22
5588,30,blue,123.1,2,22
3268,30,blue,8.8,12,14
3268,30,blue,149.2,30,18
4131,31,red,79.3,52,8
1294,31,red,10.8,44,4
1294,31,red,29.6,32,8
1294,31,red,36.2,26,4
1294,31,red,71.6,44,12
1294,31,red,88.3,38,8
1294,31,red,124.5,44,8
1294,31,red,132.0,42,8
4915,31,red,12.1,32,4
4915,31,red,17.4,32,2
4915,31,red,31.9,38,18
4915,31,red,71.0,40,6
4915,31,red,138.3,32,12
4683,31,blue,10.7,20,6
4683,31,blue,26.4,18,12
4683,31,blue,53.4,0,20
4683,31,blue,68.6,2,20
4683,31,blue,132.4,0,18
1899,31,blue,32.0,20,22
1899,31,blue,113.2,28,18
1899,31,blue,136.1,26,18
1318,32,red,4.8,46,6
1318,32,red,14.5,48,6
1318,32,red,25.5,36,4
1318,32,red,52.1,48,4
1318,32,red,80.4,32,8
1318,32,red,97.9,32,10
1318,32,red,140.4,30,12
1318,32,red,144.1,30,10
4173,32,red,80.8,34,20
2976,32,blue,93.1,22,26
2976,32,blue,115.6,30,26
4681,33,red,24.7,44,16
4681,33,red,44.6,42,14
4681,33,red,98.0,38,8
4681,33,red,122.3,34,8
4681,33,red,135.7,32,14
4682,33,blue,3.9,8,12
4682,33,blue,7.6,2,8
4682,33,blue,65.3,10,18
7627,33,blue,22.4,0,20
7627,33,blue,61.2,44,8
7627,33,blue,70.4,42,8
7627,33,blue,98.9,42,10
8032,33,blue,8.1,10,24
8032,33,blue,56.0,20,10
8032,33,blue,60.6,10,6
8032,33,blue,107.6,50,12
8032,33,blue,133.6,36,18
3070,34,red,10.1,54,20
3070,34,red,33.4,0,10
3070,34,red,37.1,0,8
3070,34,red,72.0,18,20
3070,34,red,76.3,0,10
3070,34,red,116.1,26,14
4131,34,red,16.9,52,10
4309,34,red,10.7,50,6
4309,34,red,25.4,46,8
4309,34,red,50.8,32,4
4309,34,red,111.8,16,4
1294,34,blue,11.4,8,24
1294,34,blue,115.4,8,18
2412,34,blue,138.5,22,16
4180,34,blue,10.8,10,20
4180,34,blue,87.1,44,12
2903,35,red,53.5,44,14
2903,35,red,64.5,44,16
2903,35,red,68.2,44,14
2903,35,red,107.1,44,16
4512,35,red,7.6,38,6
3268,35,red,4.8,46,22
3268,35,red,8.7,42,22
4915,35,blue,8.7,10,12
4915,35,blue,149.9,26,18
4683,35,blue,13.9,16,4
4683,35,blue,35.3,0,20
4683,35,blue,138.3,10,16
1778,35,blue,81.1,34,24
1778,35,blue,111.0,44,24
1778,35,blue,119.5,24,26
4513,36,red,111.5,44,10
4513,36,red,116.1,40,10
4513,36,red,137.9,38,6
2930,36,red,7.2,38,4
2930,36,red,27.6,44,4
2930,36,red,66.5,48,8
2522,36,red,10.0,44,8
2522,36,red,23.5,42,8
2522,36,red,102.8,36,14
7118,36,blue,85.6,12,22
8248,36,blue,138.8,34,18
4089,36,blue,29.3,24,26
4089,36,blue,113.0,50,22
5588,37,red,8.3,40,2
5588,37,red,76.1,36,18
5588,37,red,101.5,46,22
5588,37,red,105.2,40,20
5588,37,red,126.5,38,10
5588,37,red,134.9,38,2
5588,37,red,142.7,34,6
4918,37,red,9.1,40,14
4918,37,red,138.6,26,8
3826,37,red,6.4,42,8
3826,37,red,10.1,40,8
3826,37,red,63.7,36,6
3826,37,red,95.8,6,12
3826,37,red,110.7,50,8
492,37,blue,45.5,22,24
492,37,blue,125.3,22,16
492,37,blue,134.5,20,16
4911,37,blue,136.6,28,18
2910,38,red,15.8,32,2
2910,38,red,27.7,0,10
2910,38,red,32.9,0,8
4682,38,red,3.8,44,18
4682,38,red,9.3,34,16
4682,38,red,134.2,32,14
4131,38,red,94.9,8,24
4131,38,red,101.2,0,8
4131,38,red,117.8,26,10
4512,38,blue,13.9,12,22
4173,38,blue,48.7,36,16
4173,38,blue,81.4,38,16
4173,38,blue,85.1,36,16
4173,38,blue,134.2,38,16
949,38,blue,7.4,6,20
949,38,blue,49.2,8,18
949,38,blue,142.8,32,18
1778,39,red,27.2,44,10
2930,39,red,22.5,38,4
2930,39,red,41.2,38,6
2930,39,red,81.5,34,4
2930,39,red,91.5,44,18
2930,39,red,117.8,42,12
2930,39,red,121.7,42,10
7627,39,blue,109.8,46,4
7627,39,blue,144.0,38,20
4683,39,blue,51.9,2,18
4683,39,blue,60.7,0,20
4683,39,blue,120.1,14,20
