matchNumber,teamNumber,startPosition,preLoadedBalls,auto-bottom port,auto-Outer port,crossedLine,cellsCollected,Bottom Port,Top Port,missed,rotation,colorControl,balanced,parked,climbed,helped,defended,additionalComments
12 ,4911 ,null,true,0,1,true,1,0,0,0,0,false,false,false,true,false,false,  
13 ,949 ,null,true,0,2,true,0,0,7,0,0,false,false,false,false,false,false,  
13 ,4180 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
13 ,7461 ,null,true,0,0,false,0,0,4,0,0,false,false,true,false,false,false,  
13 ,4512 ,null,true,0,0,true,0,0,10,0,0,false,false,true,false,false,false,failed climb  
13 ,4683 ,null,true,0,0,false,0,2,0,0,0,false,false,true,false,false,false,  
13 ,4309 ,null,true,0,0,true,0,0,5,0,0,false,false,true,false,false,false,  
14 ,5588 ,null,true,0,0,true,0,0,1,0,0,false,false,true,false,false,false,  
14 ,2928 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,true,  
14 ,4682 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,not in the game   
14 ,4089 ,null,true,0,1,true,0,0,4,0,0,false,true,false,true,false,false,  
14 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,true,false,false,false,robot was motionless for most of the match  
15 ,4918 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,died  
15 ,2903 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
15 ,2522 ,null,true,0,0,true,0,0,2,0,0,false,false,false,true,false,false,  
15 ,3070 ,null,true,1,0,true,0,0,0,0,0,false,true,false,true,false,false,    
15 ,1318 ,null,true,0,0,false,0,0,2,0,0,false,true,false,true,false,false,  
15 ,2910 ,null,true,0,6,true,3,0,26,0,0,false,true,false,true,false,false,  
16 ,949 ,null,true,0,1,true,0,0,5,0,0,false,false,true,false,false,false,  
16 ,8248 ,null,true,0,0,false,0,1,0,0,0,false,false,true,false,false,false,  
16 ,4683 ,null,true,0,0,false,0,2,0,0,0,false,false,false,false,false,false,  
16 ,1294 ,null,true,0,1,false,0,0,3,0,0,false,false,true,false,false,false,  
16 ,7118 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
16 ,1899 ,null,false,0,0,true,0,0,7,0,0,false,false,false,true,false,false,  
17 ,4513 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
17 ,492 ,null,true,0,2,true,1,0,4,0,0,false,false,true,false,false,false,  
17 ,2976 ,null,true,0,0,false,0,0,10,0,0,false,false,true,false,false,false,  
17 ,2412 ,null,true,0,3,false,0,0,3,0,0,false,false,false,false,false,false,  
17 ,1778 ,null,true,0,0,false,0,0,6,0,0,false,false,false,false,false,false,  
17 ,3826 ,null,true,0,3,true,0,0,6,0,0,false,true,false,true,false,false,  
18 ,3268 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
18 ,4915 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,true,false,  
18 ,4131 ,null,true,2,0,true,0,4,0,0,0,false,false,false,true,false,false,  
18 ,4205 ,null,true,0,0,true,0,0,3,0,0,false,false,true,false,false,false,  
18 ,4173 ,null,true,0,0,true,0,0,0,0,0,false,false,false,false,false,false,      
19 ,7627 ,null,true,0,0,true,0,0,0,0,0,false,false,true,false,false,false,  
19 ,4918 ,null,true,0,2,true,0,0,1,0,0,false,false,true,false,false,false,  
19 ,4911 ,null,true,0,3,false,0,0,0,0,0,false,false,true,false,false,false,  
19 ,8032 ,null,true,0,0,false,0,7,0,0,0,false,false,true,false,false,false,   
19 ,949 ,null,true,0,2,true,0,0,2,0,0,false,false,false,false,false,false,missed many because of defence  
20 ,492 ,null,true,0,3,true,0,0,1,0,0,false,false,true,false,false,false,  
20 ,2412 ,null,true,0,0,true,0,0,5,0,0,false,false,false,false,false,false,  
20 ,4180 ,null,true,0,0,false,0,0,1,0,0,false,false,true,false,false,false,  
20 ,1899 ,null,true,0,1,true,0,0,4,0,0,false,false,true,false,false,false,      
20 ,2903 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,went wrong way during auto  
20 ,2910 ,null,true,0,5,true,3,0,18,0,0,false,false,false,true,false,false,  
21 ,4682 ,null,true,0,0,false,0,0,0,0,0,false,false,true,false,false,false,  
21 ,5588 ,null,true,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
21 ,4513 ,null,true,0,0,true,0,0,10,0,0,false,false,true,false,false,false,  
21 ,3826 ,null,true,0,2,true,0,0,15,0,0,false,false,false,true,false,false,      
21 ,3070 ,null,true,0,0,true,0,0,0,0,0,false,false,false,true,false,false,  
21 ,7461 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,   
22 ,2930 ,null,true,0,3,true,0,0,1,0,0,false,false,true,false,false,false,  
22 ,4131 ,null,true,0,0,true,0,4,0,0,0,false,false,false,true,false,false,  
22 ,4911 ,null,true,0,2,true,0,0,0,0,0,false,false,false,false,false,false,  
22 ,8059 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
22 ,4309 ,null,true,0,0,true,0,0,2,0,0,false,false,false,false,false,false,  
22 ,2976 ,null,true,0,2,false,0,0,5,0,0,false,false,true,false,false,false,  
23 ,4173 ,null,false,0,0,false,0,0,0,0,0,false,false,false,false,false,false,  
23 ,4205 ,null,true,0,2,false,0,0,0,0,0,false,false,true,false,false,false,  
